"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bolivia","BOL","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3425665386134","22.5429151312039","27.224540412051","31.0176939416897","24.9969602351069","27.2767894736679","28.0768994141626","32.8834109443142","39.4416372929061","48.7776345450594","54.7115514342105","59.9275934344122","63.6322019227117","69.866753314203","71.1314314806672","73.4407771249542","80.5705602871089","81.8993331381417",
"Brazil","BRA","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.2120397488435","104.880105742453","150.212632606514","204.606494177404","234.615653968499","369.738954466777","393.918439006393","399.586307294608","403.241294043141","552.587667029951","545.361328262394","549.088458234426","655.773394420674","665.609976234849","701.361403153258",
"Barbados","BRB","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","665.590926406429","742.160721983901","588.330761638656","564.889476590031","613.065898359986","631.335617564466","627.973555470825","635.640037337363","392.097768597628","405.438112980954","345.641547491414","334.449746495675","373.375237994344","363.157222998962",
"Bhutan","BTN","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150.143865838933","154.403130601383","163.303311611132","187.605472692237","226.292834790098","244.912519109903","187.895193411167","164.337393464421","219.328769928507","202.002009607084","191.577830494108","264.945654142703","184.229710946586","174.464764853463","193.615004127563","232.833658177891","184.588418965644","176.950547192044",
"Central African Republic","CAF","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.4319986420783","13.4189424875774","20.9325210946646","16.0144838668088","","","","",
"Canada","CAN","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","499.361401602332","489.627003980735","487.312062833125","475.238039875272","463.972785630593","464.189160477221","465.103972126269","457.268285249911","445.25044866663","428.913317926643",
"Switzerland","CHE","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","242.638121015196","259.114441176627","283.040465191726","303.809472623638","314.443952538212","320.426067960245","323.984606639742","343.153628483124","369.295903038924","375.792408643158","372.940366930722","368.333729052486","377.785922344246","377.77455393454","378.870316063322","372.447824587478","348.969293829391","346.153267722993",
"China","CHN","Borrowers from commercial banks (per 1,000 adults)","FB.CBK.BRWR.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","272.288648373039","292.071353037469","316.272558929389","343.821918517391","382.547525726128","424.954073321993","467.563672568289","501.307176715768","532.510106092925","566.255295730432",
